"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cinp",0.127205838225214,0.180141004810262,0.101,0.048,1
"Drg2",0.127348408425246,0.172810197261946,0.147,0.079,1
"Nmb",0.12747490451715,0.207419340629004,0.037,0.008,1
"Mettl25",0.12747490451715,0.0405543967867402,0.037,0.008,1
"Spats2",0.12747490451715,0.0374407589482783,0.037,0.008,1
"Eaf2",0.12747490451715,0.0590623435289896,0.037,0.008,1
"Tbc1d24",0.12747490451715,0.141185792574355,0.037,0.008,1
"Ccdc88b",0.12747490451715,0.245037526717032,0.037,0.008,1
"4933407K13Rik",0.12747490451715,0.111651430405717,0.037,0.008,1
"Brd2",0.127644969767861,-0.253649306660426,0.376,0.452,1
"Gtf2h4",0.127938899611923,0.236556846868613,0.11,0.056,1
"Gm32031",0.128190780699153,0.0841347734274454,0.064,0.024,1
"Zfp148",0.128290791131275,-0.496793883759444,0.165,0.222,1
"Abhd17b",0.128390951653309,-0.469415577526966,0.183,0.238,1
"Thoc1",0.1284178750171,-0.278510219648532,0.128,0.19,1
"Zbtb44",0.128562915077196,-0.317426086186723,0.101,0.159,1
"Itch",0.128793892564567,-0.325427000572153,0.174,0.238,1
"5430405H02Rik",0.12896149704041,0.132949356709195,0.11,0.056,1
"Pkhd1",0.129089805734691,0.0464273058979028,0.018,0,1
"Aox3",0.129089805734691,0.170358927405371,0.018,0,1
"Cdk15",0.129089805734691,0.0546722090282767,0.018,0,1
"Wnt10a",0.129089805734691,0.0150191498244724,0.018,0,1
"Slco4c1",0.129089805734691,0.103209151763703,0.018,0,1
"Gm16083",0.129089805734691,0.0201460711397542,0.018,0,1
"Inava",0.129089805734691,0.0227596736232659,0.018,0,1
"Pla2g4a",0.129089805734691,0.0177716196812142,0.018,0,1
"Colgalt2",0.129089805734691,0.0670571921585668,0.018,0,1
"Teddm2",0.129089805734691,0.0870058438298955,0.018,0,1
"Fasl",0.129089805734691,0.0178812828057086,0.018,0,1
"Ildr2",0.129089805734691,0.169958173327415,0.018,0,1
"Tstd1",0.129089805734691,0.0249513341230817,0.018,0,1
"Vangl2",0.129089805734691,0.0150191498244724,0.018,0,1
"Ifi204",0.129089805734691,0.0892075329333738,0.018,0,1
"H3f3aos",0.129089805734691,0.0145888462376597,0.018,0,1
"Gm15867",0.129089805734691,0.0251944622886467,0.018,0,1
"Enkur",0.129089805734691,0.0183957091944861,0.018,0,1
"Phyhd1",0.129089805734691,0.0113763768403206,0.018,0,1
"Ier5l",0.129089805734691,0.0521550602470557,0.018,0,1
"C230014O12Rik",0.129089805734691,0.144183415336468,0.018,0,1
