"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Krtcap3",0.377193736496792,-0.0192700689123869,0.235,0.294,1
"E2f5",0.377403493298306,0.0907111324841855,0.055,0.083,1
"Twistnb",0.377423817335003,-0.14357585528779,0.13,0.165,1
"Irf3",0.377590152394658,0.293583690888105,0.19,0.156,1
"Plrg1",0.377908571334908,-0.0247092234316122,0.08,0.11,1
"BC005561",0.378100655425125,0.0387081028059819,0.105,0.138,1
"Lcor",0.378100655425125,-0.0316019549558946,0.105,0.138,1
"Pml",0.378110586508955,-0.0137130991432025,0.065,0.092,1
"Dlg3",0.378110586508955,0.013241455278729,0.065,0.092,1
"2610306M01Rik",0.378231525986105,-0.107528405955686,0.035,0.055,1
"6720427I07Rik",0.378231525986105,-0.0371765159261413,0.035,0.055,1
"Sema3b",0.378277200738912,-0.0542253418015293,0.365,0.44,1
"Hdac3",0.378460424405748,0.158850971329068,0.115,0.083,1
"Cep57",0.37855961053147,-0.105471303445061,0.09,0.119,1
"Gm49359",0.378996707662032,0.0486708865394004,0.06,0.037,1
"Smyd3",0.379305143901717,-0.0126065343763398,0.02,0.037,1
"Rgl3",0.379305143901717,-0.04609436835082,0.02,0.037,1
"Zkscan17",0.379305143901717,-0.0147311987115761,0.02,0.037,1
"Slfn8",0.379305143901717,-0.0219823865851229,0.02,0.037,1
"Klf11",0.379305143901717,-0.0190767892149062,0.02,0.037,1
"Rad9a",0.379305143901717,-0.0145081528805893,0.02,0.037,1
"Tceanc",0.379305143901717,-0.0548990789669361,0.02,0.037,1
"Klhdc2",0.379330564344614,-0.0617954192463683,0.15,0.193,1
"Ick",0.379357725113718,0.0291842263835221,0.08,0.11,1
"Os9",0.379584632897127,-0.0311594722064585,0.41,0.477,1
"Scaf8",0.379945167855891,-0.0973641852912597,0.09,0.119,1
"Wsb1",0.380199084743613,-0.252510097342246,0.135,0.165,1
"Gstt3",0.380246136117428,0.0164413056781085,0.095,0.128,1
"Tufm",0.380810291975841,-0.11840051194032,0.08,0.11,1
"Tnfrsf1b",0.38088000954971,0.0546557991196559,0.06,0.037,1
"Apip",0.381115662014083,-0.0243334918555515,0.12,0.156,1
"Nudt1",0.381287455297161,-0.156481555862492,0.065,0.092,1
"Nek9",0.381383275713662,-0.306631703143462,0.165,0.202,1
"Dock5",0.381587708523591,0.0820800938501708,0.07,0.101,1
"Mapkbp1",0.381657581453486,-0.18426474061499,0.05,0.073,1
"Mrtfb",0.381657581453486,-0.181946285224601,0.05,0.073,1
"Primpol",0.381936737004943,-0.0224405667689691,0.02,0.037,1
"Ripor2",0.381936737004943,0.0120147211881391,0.02,0.037,1
"Tmem186",0.381936737004943,0.00524577507828267,0.02,0.037,1
"Zfp275",0.381936737004943,0.0276069890267243,0.02,0.037,1
"Pigg",0.382224556581011,0.125783452031185,0.115,0.156,1
"Rpusd4",0.382392137488654,-0.0774260339995825,0.035,0.055,1
"Ppp1r14b",0.38241305193,0.249055674574107,0.305,0.275,1
"Timm50",0.382502551188816,0.259174175583481,0.205,0.174,1
"Ssrp1",0.382794520705476,0.295161718566864,0.215,0.183,1
"Mtus2",0.382882015372082,0.0374438234568656,0.065,0.092,1
"Pitpnm1",0.382882015372082,0.072254607929029,0.065,0.092,1
"Setd1b",0.382951196758143,0.0493217046325938,0.095,0.128,1
"Tmem139",0.383141850664638,0.149709222863678,0.07,0.046,1
"Rhoc",0.383166303145621,0.209981971675537,0.33,0.284,1
"Srf",0.38344654970779,-0.21136569004226,0.05,0.073,1
"Acot2",0.383725655343468,0.0321232233012876,0.08,0.11,1
"Zfp945",0.383725655343468,-0.0450755120847867,0.08,0.11,1
"Etfrf1",0.384308137437487,0.0628298702382233,0.095,0.128,1
