"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hist1h2ap",0.047585769029338,0.393081373038136,0.07,0.018,1
"Gm19426",0.047846217874386,0.0273019938039419,0.035,0,1
"Usp50",0.047846217874386,0.113593969882942,0.035,0,1
"9030622O22Rik",0.047846217874386,0.0429587930661714,0.035,0,1
"Dhx35",0.047846217874386,0.0667474445645486,0.035,0,1
"Sprr1a",0.047846217874386,0.41924248011457,0.035,0,1
"Tmem53",0.047846217874386,0.094192056460795,0.035,0,1
"Acad10",0.047846217874386,0.115759747952981,0.035,0,1
"Dhx37",0.047846217874386,0.052084735053516,0.035,0,1
"Wdr95",0.047846217874386,0.139144707792812,0.035,0,1
"Gpnmb",0.047846217874386,0.22303446530054,0.035,0,1
"Ifitm10",0.047846217874386,0.111485005826834,0.035,0,1
"Cdon",0.047846217874386,0.120004741458684,0.035,0,1
"Scamp5",0.047846217874386,0.0671706643029187,0.035,0,1
"Gm39469",0.047846217874386,0.0956429919497275,0.035,0,1
"Itga7",0.047846217874386,0.107566375465974,0.035,0,1
"Slc1a4",0.047846217874386,0.100975060740901,0.035,0,1
"D11Wsu47e",0.047846217874386,0.151083776575411,0.035,0,1
"Cd7",0.047846217874386,0.0939868493653485,0.035,0,1
"Slc39a14",0.047846217874386,0.0828073222529486,0.035,0,1
"Tmtc4",0.047846217874386,0.0972283986596851,0.035,0,1
"Sh3bgr",0.047846217874386,0.185969457729632,0.035,0,1
"Gm19412",0.047846217874386,0.174369902691958,0.035,0,1
"H2-M2",0.047846217874386,0.0986915451333545,0.035,0,1
"Kcnk7",0.047846217874386,0.0286220129830914,0.035,0,1
"Neurl1a",0.047846217874386,0.0957322001770511,0.035,0,1
"Pex26",0.047879994454711,-0.113043147648213,0.015,0.055,1
"AU021092",0.0478866611939681,-0.400799264691546,0.225,0.318,1
"Tial1",0.0479018859151178,-0.208683892602994,0.13,0.218,1
"Msh3",0.04793193769884,-0.414058606024494,0.045,0.1,1
"Sp5",0.0479999618954116,0.0650711939642527,0.055,0.009,1
"Zc3hc1",0.0479999618954116,0.0128963789297076,0.055,0.009,1
"Ccdc80",0.0479999618954116,0.140799121715102,0.055,0.009,1
"Slc35e3",0.0480117659785267,-0.104910347536528,0.025,0.073,1
"Fbxo32",0.0480117659785267,-0.114764003524632,0.025,0.073,1
"Dusp5",0.0480171707637009,-0.136966228077654,0.02,0.064,1
"Exoc5",0.0480437850894039,-0.550978960770578,0.125,0.2,1
"Heatr1",0.0480481168469358,-0.128856128210316,0.05,0.109,1
"Ndst1",0.0481167158896498,-0.494594391195951,0.6,0.645,1
"Got2",0.0482250927536023,-0.259422665643923,0.205,0.3,1
"H2-Aa",0.0482815883625024,-0.235055761435844,0.57,0.355,1
"Slc35e4",0.0483657739601695,0.176355883298655,0.07,0.018,1
"Gga3",0.0484859563849899,-0.113449973975813,0.02,0.064,1
"Ccnc",0.0485804735672625,-0.294716415966973,0.09,0.164,1
"Dipk2a",0.0486186720544991,-0.123005685661497,0.055,0.118,1
"Dbr1",0.0486380014914662,-0.2664860216105,0.045,0.1,1
"Bcl2l2",0.0486503216415822,-0.348310636945678,0.105,0.182,1
"Auh",0.0486742206417441,-0.140837103301409,0.095,0.173,1
"Srp14",0.0487483682545178,0.511846338576171,0.53,0.482,1
"Cdipt",0.0488148677260049,0.534332832836569,0.405,0.336,1
"Vnn1",0.0488436978813086,0.229396678837184,0.11,0.045,1
"Prdx1",0.0488486639453996,-0.186170143886685,0.58,0.736,1
"Zscan26",0.0488527266561764,-0.183994754486164,0.09,0.164,1
"Dmxl1",0.0488769727131736,-0.270846713131194,0.145,0.227,1
"Fzd7",0.0489157501991523,-0.0350530604512774,0.015,0.055,1
"Gm19325",0.0489157501991523,-0.0278133519263633,0.015,0.055,1
"Hdac10",0.0489157501991523,-0.12341431177436,0.015,0.055,1
"Ap4m1",0.0489585796370073,-0.0628927741138637,0.02,0.064,1
"Pold3",0.0489942956924557,-0.266227149000745,0.045,0.1,1
"Tmem167",0.0491357187348509,0.654987505856726,0.39,0.336,1
"Cd151",0.0492618937624089,0.318310186487691,0.38,0.273,1
"Cdc5l",0.0492696281422128,-0.231201559418044,0.175,0.273,1
"Ttc9",0.0493527779978667,0.179639350070621,0.085,0.027,1
"Thada",0.0494350638001177,-0.103220270411592,0.02,0.064,1
"Tlr2",0.0494401745531438,0.0738372007888286,0.1,0.036,1
"Cry1",0.0494406410001442,-0.030763275768767,0.015,0.055,1
"Pggt1b",0.0495014825647428,-0.333336945849139,0.125,0.2,1
"Ccr5",0.0495558984903633,0.29939562016747,0.07,0.018,1
"Wasl",0.0495874614537643,-0.330847602765745,0.23,0.327,1
"Chpf",0.0496836573198935,0.182241895339449,0.125,0.055,1
"Hbb-bt",0.0496836573198935,-0.347571611181105,0.075,0.145,1
"Kbtbd2",0.049754660769676,-0.195111994549044,0.05,0.109,1
"Nudt3",0.0497627391311639,-0.446649480535156,0.115,0.191,1
"Ndrg3",0.0497822797779948,-0.305871866026707,0.065,0.127,1
"Gskip",0.0498822096734925,0.250821946394225,0.15,0.073,1
"Mrps26",0.049897556144112,-0.424867238279736,0.165,0.245,1
"9130221H12Rik",0.0499702486917852,-0.0295502993024958,0.015,0.055,1
"Mipol1",0.0499702486917852,0.0156825687084326,0.015,0.055,1
"Parp11",0.0500763467370402,0.164513197579276,0.085,0.027,1
"Dnmt3a",0.0501019995413974,-0.32652460887412,0.05,0.109,1
"Usf2",0.0501805942994855,-0.190866429912393,0.225,0.327,1
"Psat1",0.0503628851353034,0.187669990961578,0.07,0.018,1
"Sec61g",0.0503637926875485,0.379344927493934,0.5,0.427,1
"Ndor1",0.0503997082693335,-0.110291903971205,0.02,0.064,1
"Cwc15",0.0504196532826304,-0.262790115186472,0.33,0.436,1
"Rhot2",0.0504513686734889,-0.184894826219748,0.05,0.109,1
"Cds2",0.0504604571406893,0.0212043536482214,0.16,0.255,1
"Tle5",0.0504627176639778,0.382497428540933,0.665,0.655,1
"Macrod2",0.0505046045831386,-0.0977181800785028,0.015,0.055,1
"Numb",0.0507359395669956,-0.147728740937716,0.065,0.127,1
"Nck1",0.0507555971138472,-0.301304357862151,0.11,0.182,1
"Psd4",0.0508027769240054,-0.0859385042141309,0.05,0.109,1
"Phkb",0.0508027769240054,-0.172541735685656,0.05,0.109,1
"Spopl",0.0508106867334634,-0.227163859858256,0.085,0.155,1
"Cops5",0.0508824991339739,0.332578812946674,0.27,0.173,1
"Cdc25a",0.0508879154222307,-0.0877407810729354,0.02,0.064,1
"Cobl",0.0509511712110422,-0.184027247932547,0.175,0.282,1
"Ctnnd1",0.0509568126610697,-0.43992387891141,0.28,0.382,1
"Dnpep",0.0510179314209273,0.485418858999036,0.26,0.173,1
"Arhgap28",0.0510437400662,0.0360366149471489,0.015,0.055,1
"Cpox",0.0510572075955474,-0.295743569279399,0.065,0.127,1
"Pou2f1",0.0511266344581272,-0.365519189724763,0.1,0.173,1
"Ptcd2",0.0511811686518119,0.268050896938259,0.125,0.055,1
"Cd52",0.0512389657510363,-0.391840383989075,0.295,0.373,1
"Mpc1",0.051292018927372,0.461933892429336,0.545,0.518,1
"Preb",0.0513611261652517,-0.134005245048599,0.09,0.164,1
"Brd4",0.0514601736405873,-0.211179273949882,0.145,0.227,1
"Agrn",0.0515003973339332,0.579775050843831,0.455,0.382,1
"Sh3d19",0.0515318748431367,0.141105739638758,0.15,0.073,1
"Vps50",0.0516307331741499,-0.0798008568196397,0.055,0.118,1
"Snrpa1",0.0516477303401933,-0.427836881555687,0.15,0.227,1
"Cst3",0.0516563210209843,-0.0395833819665303,0.74,0.673,1
"Zgpat",0.0516846386156785,0.318327951460156,0.135,0.064,1
"Tubg1",0.0516846386156785,0.297536431241372,0.135,0.064,1
"Pwwp3a",0.0517048555257646,-0.214581353045784,0.065,0.127,1
"Clba1",0.0517048555257646,0.310925429327939,0.11,0.045,1
"Ebna1bp2",0.051891412829268,-0.476834525333557,0.16,0.245,1
"Hist1h4d",0.0520976828005316,0.12182804926583,0.125,0.055,1
"Rps6",0.0521113219398906,-0.456999922923626,0.695,0.736,1
"Nsun2",0.052231514183604,-0.171430751419253,0.1,0.173,1
"Flt3l",0.0523006059114756,0.188089642022659,0.085,0.027,1
"Lrrc45",0.0523006059114756,-0.0427640027666165,0.045,0.1,1
"Dok2",0.0523006059114756,0.115497637075212,0.085,0.027,1
"Rab18",0.0523063132311773,-0.257490120035189,0.265,0.373,1
"Lyar",0.0523593635593591,-0.250941127569996,0.065,0.127,1
"Cyp2f2",0.0524284416266047,0.45612213044989,0.095,0.036,1
"Mob3a",0.0524419849655032,-0.323800019295416,0.06,0.118,1
"Rcc2",0.0524678139162035,-0.289925622808169,0.095,0.164,1
